incident_id,date,month,shift,incident_type,staffing_ratio,avg_experience_years,workload_index,bed_occupancy_rate,checklist_compliance,training_compliance,equipment_maintenance_score,human_factor,communication_issue,protocol_issue,equipment_issue,severity_label,severity_binary
ICU_0001,2025-01-27,1,Morning,Diagnostic Delay,2.07,5.5,0.73,0.98,0.86,0.65,0.99,0,1,0,0,Severe,1
ICU_0002,2025-06-24,6,Morning,Medication Error,2.42,7.0,0.89,0.87,0.86,0.66,0.62,1,0,0,1,Moderate,0
ICU_0003,2025-11-02,11,Morning,Equipment Malfunction,3.1,3.0,0.68,0.79,0.77,0.72,0.85,1,0,1,1,Severe,1
ICU_0004,2025-01-11,1,Evening,Diagnostic Delay,2.69,5.1,1.11,1.06,0.66,0.62,0.69,0,1,0,0,Sentinel,1
ICU_0005,2025-04-16,4,Night,Blood Transfusion Reaction,2.86,1.9,0.59,0.92,0.72,0.7,0.77,0,0,0,0,Mild,0
ICU_0006,2025-12-17,12,Night,Pressure Injury,2.22,1.3,1.39,1.17,0.75,0.77,0.65,0,0,0,0,Severe,1
ICU_0007,2025-11-27,11,Night,Central Line Issue,2.18,1.4,1.37,0.83,0.74,0.99,0.81,0,0,0,1,Severe,1
ICU_0008,2025-02-07,2,Evening,Fall,2.13,4.4,1.33,1.0,0.77,0.61,0.72,0,0,1,1,Severe,1
ICU_0009,2025-06-30,6,Evening,Sepsis Delay,3.2,2.8,1.38,0.96,0.83,0.75,0.85,0,0,0,0,Moderate,0
ICU_0010,2025-11-19,11,Night,Sepsis Delay,2.87,4.7,0.58,1.08,0.62,0.52,0.83,0,1,0,0,Near Miss,0
ICU_0011,2025-03-10,3,Morning,Fall,3.07,5.2,0.52,1.0,0.78,0.5,0.66,1,0,0,0,Severe,1
ICU_0012,2025-11-13,11,Night,Ventilator Event,2.07,5.7,1.19,0.98,0.69,0.96,0.94,0,1,0,1,Severe,1
ICU_0013,2025-12-22,12,Morning,Equipment Malfunction,2.34,3.8,0.8,0.9,0.85,1.0,0.74,0,1,0,0,Severe,1
ICU_0014,2025-11-24,11,Evening,Central Line Issue,2.7,6.2,1.19,0.78,0.7,0.54,0.74,1,0,1,0,Sentinel,1
